name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,
Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,
Maruti Swift Vdi BSIII,2010,200000,190000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5,
Volkswagen Vento Diesel Comfortline,2011,300000,80000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,
BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5,
Mahindra Thar CRDe ABS,2019,974000,15000,Diesel,Individual,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6,
Hyundai i20 Asta Option 1.2,2019,785000,9000,Petrol,Dealer,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,
Maruti Swift VDI,2013,370000,96000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Maruti Swift Dzire VDI,2013,420000,105000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Mercedes-Benz GLC 220d 4MATIC,2017,3300000,60000,Diesel,Dealer,Automatic,First Owner,0.0 kmpl,1950 CC,194 bhp,400nm@ 2800rpm,5,
Mahindra Xylo E4,2009,150000,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,7,
Honda Amaze S CVT Petrol BSIV,2019,680000,15000,Petrol,Individual,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,
Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,
Toyota Innova Crysta 2.8 GX AT BSIV,2016,1630000,40000,Diesel,Individual,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,
Tata Manza Aura Safire,2011,225000,35000,Petrol,Individual,Manual,First Owner,15.0 kmpl,1368 CC,90 bhp,116Nm@ 4750rpm,5,
Hyundai Grand i10 CRDi Sportz,2016,610000,23000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5,
Hyundai Santro Xing GLS,2008,140000,80000,Petrol,Individual,Manual,Third Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,
Maruti Swift Dzire VDI,2015,625000,50000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Maruti Estilo LXI,2010,200000,27000,Petrol,Individual,Manual,First Owner,,,,,,
Toyota Innova Crysta 2.4 VX MT,2017,1750000,98000,Diesel,Dealer,Manual,First Owner,13.68 kmpl,2393 CC,147.51 bhp,343Nm@ 1400-2800rpm,7,
Honda City Corporate Edition,2012,540000,100000,Petrol,Individual,Manual,Second Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,
Mahindra Bolero 2011-2019 SLX,2014,600000,50000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,
Nissan Sunny XL,2014,550000,37000,Petrol,Individual,Manual,First Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5,
Tata Indigo eCS LS TDI BSIII,2012,158000,110000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,
Maruti Swift Dzire VDI,2014,500000,60000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,
Mahindra Scorpio 1.99 S4,2016,750000,70000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7,
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,
Maruti Wagon R VXI,2004,33351,90000,Petrol,Individual,Manual,Third Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,
Mahindra Bolero Power Plus SLE,2017,620000,40000,Diesel,Individual,Manual,First Owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7,
Chevrolet Sail Hatchback LS ABS,2013,300000,65000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1248 CC,76.9 bhp,205Nm@ 1750rpm,5,
Renault Fluence Diesel E4,2012,570000,100000,Diesel,Individual,Manual,Second Owner,21.8 kmpl,1461 CC,78 bhp,240Nm@ 2000rpm,5,
Maruti Ritz VDi,2011,204999,85000,Diesel,Individual,Manual,Second Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5,
Maruti Ertiga VXI Petrol,2018,700000,6200,Petrol,Individual,Manual,First Owner,19.34 kmpl,1462 CC,103 bhp,138Nm@ 4400rpm,7,
Honda BRV i-VTEC V CVT,2017,950000,15000,Petrol,Individual,Automatic,First Owner,15.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,7,
Jeep Compass 2.0 Limited Option,2017,1325000,30000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,350Nm@ 1750-2500rpm,5,
Tata Indigo CS LX (TDI) BS III,2013,200000,150000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,
Volkswagen Vento Diesel Highline,2012,380000,200000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,
Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,
Ford Figo 1.2P Titanium MT,2017,400000,100000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,
Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,
Mahindra KUV 100 mFALCON D75 K4,2017,400000,50000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6,
Chevrolet Spark 1.0 LT,2012,125000,40000,Petrol,Individual,Manual,Second Owner,16.2 kmpl,995 CC,62.1 bhp,90.3Nm@ 4200rpm,5,
Renault Duster 110PS Diesel RxZ,2017,880000,50000,Diesel,Individual,Manual,First Owner,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5,
Tata Indica Vista Aqua 1.3 Quadrajet,2010,175000,60000,Diesel,Individual,Manual,First Owner,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750  rpm ,5,
Tata Indigo CS GLS BSIII,2011,120000,70000,Petrol,Individual,Manual,Second Owner,15.2 kmpl,1193 CC,65 bhp,"10.7@ 2,600(kgm@ rpm)",5,
Maruti Swift Dzire 1.2 Vxi BSIV,2010,210000,200000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5,
Honda City i DTEC VX,2014,750000,80000,Diesel,Individual,Manual,Second Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,
Tata New Safari DICOR 2.2 EX 4x2,2008,150000,120000,Diesel,Individual,Manual,Fourth & Above Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7,
Hyundai Santro Xing XG AT eRLX Euro III,2004,80000,80000,Petrol,Individual,Automatic,Third Owner,,,,,,
Toyota Etios G Safety,2011,300000,72000,Petrol,Dealer,Manual,First Owner,17.6 kmpl,1496 CC,88.7 bhp,132Nm@ 3000rpm,5,
Toyota Innova Crysta 2.4 VX MT BSIV,2018,1600000,35000,Diesel,Individual,Manual,Second Owner,13.68 kmpl,2393 CC,147.8 bhp,343Nm@ 1400-2800rpm,7,
Hyundai i20 1.4 CRDi Sportz,2011,350000,50000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,
Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,
Renault KWID 1.0 RXT Optional,2016,315000,60000,Petrol,Individual,Manual,Second Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,
Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2013,850000,120000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.57 bhp,200Nm@ 1400-3400rpm,8,
Renault KWID RXL,2019,325000,14700,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,
Maruti Swift Dzire VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Maruti Wagon R LXI CNG,2018,450000,50000,CNG,Individual,Manual,First Owner,26.6 km/kg,998 CC,58.16 bhp,77Nm@ 3500rpm,5,
Tata Indigo Grand Dicor,2007,100000,90000,Diesel,Individual,Manual,Third Owner,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800-3000rpm,5,
Maruti Omni MPI STD BSIV,2015,180000,25000,Petrol,Individual,Manual,Second Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,5,
Maruti SX4 ZDI Leather,2011,350000,115000,Diesel,Individual,Manual,Fourth & Above Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,
Hyundai Verna SX,2012,355000,60000,Petrol,Dealer,Manual,First Owner,17.7 kmpl,1497 CC,113.42 bhp,144.15nm@ 4500rpm,5,
Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7,
Maruti Ertiga SHVS VDI,2016,790000,120000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,
Hyundai i20 Asta 1.2,2013,370000,120000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,
Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,
Tata Zest Quadrajet 1.3 XM,2016,325000,50000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5,
Mahindra Scorpio Intelli Hybrid S6 Plus,2017,1100000,45000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7,
Maruti Omni MPI STD BSIV,2014,260000,40000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,5,
Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Hyundai EON Magna Plus,2013,198000,49500,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,
Tata Indigo CS LS (TDI) BS III,2012,170000,120000,Diesel,Individual,Manual,Third Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,
Maruti Swift LXI Optional-O,2015,400000,50000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,83.11 bhp,113Nm@ 4200rpm,5,
Maruti Wagon R LXI DUO BSIII,2008,148000,80000,LPG,Individual,Manual,Second Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,
Maruti Ritz VDi,2013,409999,100000,Diesel,Individual,Manual,Third Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5,
Renault KWID RXT,2015,300000,10000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,
Hyundai Santro Xing GLS LPG,2011,250000,100000,LPG,Individual,Manual,Second Owner,13.45 km/kg,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,
Hyundai Verna SX Opt,2012,434999,57000,Petrol,Dealer,Manual,First Owner,17.7 kmpl,1497 CC,113.42 bhp,144.15nm@ 4500rpm,5,
Hyundai Santro LS zipPlus,2000,140000,50000,Petrol,Individual,Manual,Second Owner,,,,,,
Mahindra Bolero PLUS AC BSIII,2011,320000,175000,Diesel,Individual,Manual,Third Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7,
Tata Tiago 2019-2020 XZ Plus Diesel,2019,670000,2000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5,
Datsun RediGO 1.0 S,2018,320000,35000,Petrol,Individual,Manual,First Owner,22.5 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,
Maruti Alto K10 VXI,2016,325000,20000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,
Maruti Swift Dzire VXI,2016,500000,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,
Volkswagen Vento Diesel Highline,2012,350000,40000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,
Maruti Swift VXI BSIV,2016,550000,8588,Petrol,Individual,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,
Maruti Swift Dzire ZDI,2017,700000,70000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,
Tata Indigo CS LX (TDI) BS III,2008,140000,120000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5,
Honda WR-V i-DTEC S,2017,800000,70000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,
Maruti Ertiga SHVS VDI,2016,850000,35000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,
MG Hector Sharp DCT Dualtone,2020,1900000,1600,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5,
Nissan Micra Active XL Petrol,2017,370000,40000,Petrol,Individual,Manual,First Owner,19.49 kmpl,1198 CC,67.04 bhp,104Nm@ 4000rpm,5,
Maruti Ritz VDi,2013,375000,88200,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5,
Maruti Esteem Lxi,2002,95000,90000,Petrol,Individual,Manual,Third Owner,,,,,,
Mercedes-Benz E-Class E270 CDI,2005,800000,120005,Diesel,Individual,Automatic,Second Owner,11.0 kmpl,2987 CC,198.5 bhp,"46.5@ 1,400-2,800(kgm@ rpm)",5,
Ford Endeavour 3.2 Titanium AT 4X4,2018,3250000,12000,Diesel,Individual,Automatic,First Owner,10.91 kmpl,3198 CC,197 bhp,470Nm@ 1750-2500rpm,7,
Hyundai i10 Sportz,2010,200000,70000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,
Datsun RediGO 1.0 S,2017,240000,35000,Petrol,Individual,Manual,First Owner,22.5 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5,
Maruti Ertiga VDI,2013,599000,60000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,
Maruti Swift VDI,2013,360000,97000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Maruti Wagon R VXI BS IV,2015,409999,18500,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,
Mahindra Bolero 2011-2019 DI - AC BS III,2013,499000,80000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9,
Tata New Safari Dicor VX 4X2 BS IV,2009,150000,90000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7,
Mahindra Xylo D2,2011,450000,56000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8,
Mahindra XUV300 W8 Option BSIV,2019,1132000,20000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,110 bhp,200Nm@ 2000-3500rpm,5,
Ford Fiesta 1.4 SXi TDCi,2009,180000,163000,Diesel,Dealer,Manual,First Owner,,,,,,
Mahindra Bolero 2011-2019 SLX,2017,700000,70000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,
Maruti Swift Dzire VDI,2013,415000,102996,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Maruti Celerio VXI,2017,380000,50000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5,
Maruti Alto 800 LXI,2020,350000,5000,Petrol,Individual,Manual,First Owner,22.05 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,
Mahindra KUV 100 D75 K8,2018,700000,30000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6,
Honda Accord V6 AT,2004,275000,100000,Petrol,Individual,Automatic,Second Owner,9.0 kmpl,2997 CC,218 bhp,196Nm@ 5000rpm,5,
Renault KWID RXT,2016,240000,59300,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,
Maruti Swift Ldi BSIV,2009,221000,100000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5,
Hyundai Xcent 1.2 VTVT S,2019,509999,40000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,
Chevrolet Spark 1.0 LT,2009,95000,120000,Petrol,Individual,Manual,Third Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5,
Hyundai Verna 1.6 CRDi SX,2015,575000,23000,Diesel,Individual,Manual,First Owner,23.9 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,
Mahindra Scorpio 2.6 CRDe,2003,300000,98000,Diesel,Individual,Manual,First Owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,
Mahindra Quanto C2,2013,450000,52000,Diesel,Individual,Manual,First Owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,
Maruti Swift VDI BSIV,2016,595000,131111,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Tata Zest Revotron 1.2T XMS,2015,500000,20000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5,
Maruti Alto LXi,2008,110000,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,
Tata Manza Aura (ABS) Safire,2010,169000,100000,Petrol,Individual,Manual,Second Owner,15.0 kmpl,1368 CC,90 bhp,116Nm@ 4750rpm,5,
Mahindra Scorpio LX BSIV,2014,700000,120000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9,
Hyundai EON Era Plus,2015,290000,17000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,
Maruti Swift VDI BSIV W ABS,2011,280000,85000,Diesel,Individual,Manual,First Owner,,,,,,
Maruti Wagon R VXI,2002,140000,80000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,
Maruti Alto LXi,2010,175000,58000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,
Maruti Swift Dzire VDI,2014,465000,120000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Toyota Corolla Altis 1.8 G,2018,1400000,13534,Petrol,Dealer,Manual,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,
Maruti SX4 ZDI Leather,2012,350000,70000,Diesel,Individual,Manual,Second Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,
Mahindra Scorpio S4 9 Seater,2014,999000,25000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,9,
Tata Nexon 1.5 Revotorq XM,2018,749000,30000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,
BMW 5 Series 520d Sport Line,2018,3900000,17100,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5,
Hyundai Creta 1.6 CRDi SX,2016,1150000,154000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,
Hyundai Santro GLS I - Euro I,1999,80000,110000,Petrol,Individual,Manual,Second Owner,,,,,,
Tata Indigo CS eLX BS IV,2010,200000,60000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5,
Honda Amaze VX i-DTEC,2018,825000,40000,Diesel,Individual,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,
Hyundai EON 1.0 Era Plus,2016,276000,60000,Petrol,Individual,Manual,First Owner,20.3 kmpl,998 CC,68.05 bhp,94.14Nm@ 3500rpm,5,
Maruti Wagon R LXI Minor,2008,110000,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,
Maruti Wagon R LXI BSIII,2006,150000,50000,Petrol,Individual,Manual,Third Owner,14.0 kmpl,1061 CC,64 bhp,"8.6@ 3,500(kgm@ rpm)",5,
Hyundai Grand i10 Magna,2016,470000,10000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,
Maruti Swift VXI BSIII W/ ABS,2006,215000,102000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,
Maruti Ertiga VDI,2015,650000,70000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,
Hyundai Grand i10 AT Asta,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,
Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,
Maruti Alto LXi BSIII,2006,120000,70000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,
Maruti Alto K10 VXI,2016,298000,70000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5,
Maruti Alto LXi,2008,120000,70000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,
Maruti Swift Dzire VDI,2015,480000,30000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Renault KWID RXT Optional,2016,250000,22000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5,
Tata Indica Vista Terra 1.4 TDI,2009,125000,100000,Diesel,Individual,Manual,Second Owner,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,5,
Mahindra Bolero 2011-2019 ZLX,2013,400000,90000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7,
Hyundai Grand i10 Magna AT,2019,625000,4337,Petrol,Dealer,Automatic,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5,
Maruti Ciaz 1.4 Alpha,2017,850000,27000,Petrol,Individual,Manual,First Owner,20.73 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,5,
Maruti Swift VDI,2013,380000,57000,Diesel,Individual,Manual,First Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,
Hyundai i20 1.2 Spotz,2017,650000,20000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,
Mahindra KUV 100 mFALCON D75 K8,2016,280000,100000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6,
Maruti Swift 1.3 VXi,2008,240000,60000,Petrol,Individual,Manual,First Owner,,,,,,
Ford Ecosport 1.0 Ecoboost Titanium Optional,2014,550000,43011,Petrol,Dealer,Manual,First Owner,18.88 kmpl,999 CC,123.37 bhp,170Nm@ 1400-4500rpm,5,
Maruti Alto LX BSIII,2007,120000,120000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,
Maruti 800 Std,2012,100000,70000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,
Maruti Eeco 7 Seater Standard BSIV,2011,160000,100000,Petrol,Individual,Manual,Second Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7,
Maruti Eeco CNG HTR 5-STR,2017,390000,30000,CNG,Individual,Manual,First Owner,21.94 km/kg,1196 CC,63 bhp,83Nm@ 3000rpm,5,
Nissan Sunny XL,2012,350000,110000,Petrol,Individual,Manual,First Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5,
Tata Manza Aura (ABS) Quadrajet,2010,300000,120000,Diesel,Individual,Manual,Third Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5,
